"review_text","review_status"
"Very pleased with my machine
Variation of weight of the load is very good
Also the time save is useful
Large drum
Glad I purchased it",Approved
"Bought product as we like the way it looks, unfussy design and easy to keep clean. It does a great job cooking the food as well : ) Very pleased with purchase and would recommend to anyone.",Approved
"Easy to use, with touch control technology for immediate response . Water boils so fast, but then you can reduce the heat to simmer without everything boiling over. The hob is so easy to keep clean, just a quick wipe with a damp cloth.  
A new feature on this hob is the hob2hood,  sensor which automatically works with your cooker hob. If your cooker hob does not have the sensor, your hob will still light up so that you know to Manually adjust the speed on the hob, no more steamy kitchen!",Approved
Thanks for letting me testing ! Great way excellent and interactive,Rejected
"Superb product except for one drawback - the sound level of the alarm.  Even standing next to it, it is barely audible to anyone but our dogs.  No facility to change the level either.    Other than this, I love the space, the central zone is especially useful, having a minute minder on the hob is good (even if I can’t hear the alarm); the control of the heat is excellent and the speed the zones heat up is amazing.  And I have had to get rid of only two pans - one of which was described as anodised aluminium suitable for induction hobs but when I tried it I got the “fault” icon up.  So beware.",Approved
Works well although wide range of heating scale seems unnecessary. Lack of information on removing access cover to enable electrical connection.,Approved
This is an amazing appliance which has changed our lives in cooking! Fantastic.,Approved
it is very bad sdbhasiofycgaizycfgbqauysgcbaguydgcbauygauysgaudcygabs8uydcga7uyshag6ywysysyysyssyysysysysysysysygsbuygbauydxgbuaygdbcuay,Rejected
"What a fantastic oven, pure simple and easy to use",Approved
"Purchased 2 of these ovens from Wickes. The soft close feature did not work on one of the ovens. Had a second delivered and it was dented, the grill was hanging down and the rubber was hanging off the door. The soft close on the second Oven which was working has now ceased to work and we havent even plugged it in yet. We have spent just under £4000 on AEG appliances so as you can imagine we are not happy. Still awaiting ovens that work!",Rejected
"This is my second AEG washing machine. It is beautiful looking, easy to use and is very much better economy wise. It has lots of features which I am thrilled with. Highly recommended.",Approved
I really like the time save on this product when you have a small load.,Approved
"Oven feels solid and build quality is good. The main drawback with this product is that the temperature control is a dial with the temperature settings shown at 50 degree intervals and it is very difficult to get an accurate temperate setting which can result in food being over or under cooked.
As time goes on you do get used to this but this oven could have scored above average if it had a better temperature control system",Approved
"Ugh, what is wrong with this shirt? It does not fit well, and the quality is horrendous. I am returning this shirt as soon as I can.",Approved
"Cras mattis tempus metus, ut sollicitudin ante aliquet sed? Mauris condimentum egestas vestibulum. Phasellus at mattis libero? Praesent laoreet fringilla erat, sit amet varius ante laoreet sit amet. Aenean sit amet sem eros. Donec nec ipsum vitae leo cursus pellentesque. Cras nec nunc justo. Mauris in elit diam. Sed egestas, erat tempor suscipit dignissim, nunc dui laoreet ligula, eu sodales arcu lacus non libero. Ut arcu felis, malesuada eget pulvinar vel, mattis commodo arcu. Nulla massa nunc.",Approved
"Since buying our AEG Washing Machine we have been very impressed with the machine; the features it has and with the quality of product compared with other brands. The extended guarantee they offered at no extra cost is very comforting and the annual service contract is definitely worth signing up for. When I bought a stacking kit to put our dryer on top, it was also sent by courier that same day. Unpacking it, again showed the quality of goods as it is so solid it will hold our dryer in place even during the most rigorous spinning vibrations. Just wished we had bought our machine much sooner so we could have benefitted from such a reliable, yet smart looking machine. AEG's good reputation is deserved and why many customers like myself will continue to buy their products in future.",Approved
